AImages,SetA,corrans,corransB,BImages,SetB,CImages,SetC,corransC,corransD,DImages,SetD,EImages,SetE,corransE,A.thisRepN,A.thisTrialN,A.thisN,A.thisIndex,B.thisRepN,B.thisTrialN,B.thisN,B.thisIndex,C.thisRepN,C.thisTrialN,C.thisN,C.thisIndex,D.thisRepN,D.thisTrialN,D.thisN,D.thisIndex,E.thisRepN,E.thisTrialN,E.thisN,E.thisIndex,key_resp_2.keys,key_resp_2.rt,Intro_key_resp.keys,Intro_key_resp.rt,Break_key_resp.keys,Break_key_resp.rt,SET_A_Key.keys,SET_A_Key.corr,SET_A_Key.rt,Set_B_key_resp.keys,Set_B_key_resp.corr,Set_B_key_resp.rt,C_key_resp.keys,C_key_resp.corr,C_key_resp.rt,D_key_resp.keys,D_key_resp.corr,D_key_resp.rt,E_key_resp.keys,E_key_resp.corr,E_key_resp.rt,Outro_key_resp.keys,Outro_key_resp.rt,date,frameRate,expName,session,participant
C:\Users\Shane\Desktop\RavenPyV5\A_6.png,A_6.png,5,,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,1,0,0.58877603,,,,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
C:\Users\Shane\Desktop\RavenPyV5\A_8.png,A_8.png,3,,,,,,,,,,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,1,0,1.250220265,,,,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
C:\Users\Shane\Desktop\RavenPyV5\A_3.png,A_3.png,1,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,2,0,0.135645299,,,,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
C:\Users\Shane\Desktop\RavenPyV5\A_5.png,A_5.png,6,,,,,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,3,0,0.000431616,,,,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
C:\Users\Shane\Desktop\RavenPyV5\A_2.png,A_2.png,5,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,4,0,0.034637348,,,,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
C:\Users\Shane\Desktop\RavenPyV5\A_4.png,A_4.png,2,,,,,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,5,0,0.033949138,,,,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
C:\Users\Shane\Desktop\RavenPyV5\A_12.png,A_12.png,6,,,,,,,,,,,,,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,6,1,0.033589908,,,,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
C:\Users\Shane\Desktop\RavenPyV5\A_9.png,A_9.png,4,,,,,,,,,,,,,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,7,0,0.03400802,,,,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
C:\Users\Shane\Desktop\RavenPyV5\A_11.png,A_11.png,3,,,,,,,,,,,,,0,8,8,10,,,,,,,,,,,,,,,,,,,,,,,8,0,0.0337336,,,,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
C:\Users\Shane\Desktop\RavenPyV5\A_10.png,A_10.png,2,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,8,0,0.724579066,,,,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
C:\Users\Shane\Desktop\RavenPyV5\A_7.png,A_7.png,1,,,,,,,,,,,,,0,10,10,6,,,,,,,,,,,,,,,,,,,,,,,7,0,0.084715109,,,,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
C:\Users\Shane\Desktop\RavenPyV5\A_1.png,A_1.png,4,,,,,,,,,,,,,0,11,11,0,,,,,,,,,,,,,,,,,,,,,,,6,0,0.101305059,,,,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,5,C:\Users\Shane\Desktop\RavenPyV5\B_10.png,B_10.png,,,,,,,,,,,,,,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,2,0,0.000189609,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,3,C:\Users\Shane\Desktop\RavenPyV5\B_8.png,B_8.png,,,,,,,,,,,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,1,0,0.405409304,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,1,C:\Users\Shane\Desktop\RavenPyV5\B_7.png,B_7.png,,,,,,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,2,0,0.120528463,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,4,C:\Users\Shane\Desktop\RavenPyV5\B_6.png,B_6.png,,,,,,,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,3,0,0.035281261,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,2,C:\Users\Shane\Desktop\RavenPyV5\B_11.png,B_11.png,,,,,,,,,,,,,,0,4,4,10,,,,,,,,,,,,,,,,,,,,,,4,0,0.067064215,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,3,C:\Users\Shane\Desktop\RavenPyV5\B_3.png,B_3.png,,,,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,1,0,0.656386923,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,6,C:\Users\Shane\Desktop\RavenPyV5\B_12.png,B_12.png,,,,,,,,,,,,,,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,2,0,0.017765416,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,1,C:\Users\Shane\Desktop\RavenPyV5\B_2.png,B_2.png,,,,,,,,,,,,,,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,3,0,0.034065821,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,6,C:\Users\Shane\Desktop\RavenPyV5\B_4.png,B_4.png,,,,,,,,,,,,,,0,8,8,3,,,,,,,,,,,,,,,,,,,,,,4,0,0.000762756,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,2,C:\Users\Shane\Desktop\RavenPyV5\B_9.png,B_9.png,,,,,,,,,,,,,,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,5,0,0.000474832,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,5,C:\Users\Shane\Desktop\RavenPyV5\B_5.png,B_5.png,,,,,,,,,,,,,,0,10,10,4,,,,,,,,,,,,,,,,,,,,,,6,0,0.000548839,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,4,C:\Users\Shane\Desktop\RavenPyV5\B_1.png,B_1.png,,,,,,,,,,,,,,0,11,11,0,,,,,,,,,,,,,,,,,,,,,,7,0,0.000423513,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_9.png,C_9.png,6,,,,,,,,,,,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,6,1,0.485541392,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_2.png,C_2.png,4,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,4,1,0.119036442,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_1.png,C_1.png,5,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,3,0,0.001038256,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_5.png,C_5.png,1,,,,,,,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,2,0,0.202992036,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_11.png,C_11.png,2,,,,,,,,,,,,,,,0,4,4,10,,,,,,,,,,,,,,,,,,,,,2,1,0.504065243,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_6.png,C_6.png,7,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,3,0,0.000428915,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_12.png,C_12.png,6,,,,,,,,,,,,,,,0,6,6,11,,,,,,,,,,,,,,,,,,,,,4,0,0.000382459,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_10.png,C_10.png,8,,,,,,,,,,,,,,,0,7,7,9,,,,,,,,,,,,,,,,,,,,,5,0,0.017183085,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_4.png,C_4.png,8,,,,,,,,,,,,,,,0,8,8,3,,,,,,,,,,,,,,,,,,,,,7,0,0.252417781,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_8.png,C_8.png,1,,,,,,,,,,,,,,,0,9,9,7,,,,,,,,,,,,,,,,,,,,,7,0,0.455968919,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_3.png,C_3.png,7,,,,,,,,,,,,,,,0,10,10,2,,,,,,,,,,,,,,,,,,,,,6,0,0.052149952,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_7.png,C_7.png,6,,,,,,,,,,,,,,,0,11,11,6,,,,,,,,,,,,,,,,,,,,,5,0,0.000544517,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,6,C:\Users\Shane\Desktop\RavenPyV5\D_8.png,D_8.png,,,,,,,,,,,,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,4,0,0.000212297,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,1,C:\Users\Shane\Desktop\RavenPyV5\D_3.png,D_3.png,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,1,1,0.761162199,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,2,C:\Users\Shane\Desktop\RavenPyV5\D_11.png,D_11.png,,,,,,,,,,,,,,,,0,2,2,10,,,,,,,,,,,,,,,,,,,,2,1,0.067419123,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,5,C:\Users\Shane\Desktop\RavenPyV5\D_12.png,D_12.png,,,,,,,,,,,,,,,,0,3,3,11,,,,,,,,,,,,,,,,,,,,3,0,0.033725497,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,2,C:\Users\Shane\Desktop\RavenPyV5\D_4.png,D_4.png,,,,,,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,4,0,0.000543977,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,8,C:\Users\Shane\Desktop\RavenPyV5\D_6.png,D_6.png,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,5,0,0.000405687,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,5,C:\Users\Shane\Desktop\RavenPyV5\D_5.png,D_5.png,,,,,,,,,,,,,,,,0,6,6,4,,,,,,,,,,,,,,,,,,,,6,0,0.000542897,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,7,C:\Users\Shane\Desktop\RavenPyV5\D_7.png,D_7.png,,,,,,,,,,,,,,,,0,7,7,6,,,,,,,,,,,,,,,,,,,,7,1,0.202471827,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,2,C:\Users\Shane\Desktop\RavenPyV5\D_1.png,D_1.png,,,,,,,,,,,,,,,,0,8,8,0,,,,,,,,,,,,,,,,,,,,7,0,0.656694834,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,1,C:\Users\Shane\Desktop\RavenPyV5\D_2.png,D_2.png,,,,,,,,,,,,,,,,0,9,9,1,,,,,,,,,,,,,,,,,,,,6,0,0.051735082,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,4,C:\Users\Shane\Desktop\RavenPyV5\D_10.png,D_10.png,,,,,,,,,,,,,,,,0,10,10,9,,,,,,,,,,,,,,,,,,,,5,0,0.017096653,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,3,C:\Users\Shane\Desktop\RavenPyV5\D_9.png,D_9.png,,,,,,,,,,,,,,,,0,11,11,8,,,,,,,,,,,,,,,,,,,,4,0,0.017273297,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_12.png,E_12.png,3,,,,,,,,,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,1,0,0.642259725,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_1.png,E_1.png,7,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,2,0,0.084872306,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_9.png,E_9.png,5,,,,,,,,,,,,,,,,,0,2,2,8,,,,,,,,,,,,,,,,,,,3,0,0.017138248,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_11.png,E_11.png,5,,,,,,,,,,,,,,,,,0,3,3,10,,,,,,,,,,,,,,,,,,,4,0,0.000550459,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_8.png,E_8.png,1,,,,,,,,,,,,,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,5,0,0.000479694,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_3.png,E_3.png,4,,,,,,,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,6,0,0.760046695,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_2.png,E_2.png,6,,,,,,,,,,,,,,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,5,0,0.051350462,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_10.png,E_10.png,2,,,,,,,,,,,,,,,,,0,7,7,9,,,,,,,,,,,,,,,,,,,4,0,0.034268394,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_5.png,E_5.png,4,,,,,,,,,,,,,,,,,0,8,8,4,,,,,,,,,,,,,,,,,,,3,0,0.017482353,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_4.png,E_4.png,3,,,,,,,,,,,,,,,,,0,9,9,3,,,,,,,,,,,,,,,,,,,7,0,0.726702035,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_6.png,E_6.png,8,,,,,,,,,,,,,,,,,0,10,10,5,,,,,,,,,,,,,,,,,,,8,1,0.135448668,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,,,,C:\Users\Shane\Desktop\RavenPyV5\E_7.png,E_7.png,3,,,,,,,,,,,,,,,,,0,11,11,6,,,,,,,,,,,,,,,,,,,7,0,0.50657013,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.070663539,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
